iwwanu Iyu(V2)+iwwa_Iyu_PAST+anu_a_3SM   
iwwareV Iyu(V2)+iwwa_Iyu_NFV+areV_a_COND
iwwalli Iyu(V2)+iwwa_Iyu_NFV+alli_a_COND

Iyuvuxilla Iyu(V2)+Iyuvuxu_Iyu_AVY+illa_u_NEG
Iyabahuxu Iyu(V2)+Iya_Iyu_AVY+bahuxu_#_FUTPOTEN
Iyalebeku Iyu(V2)+alu_u_COMP+e_u_AVY+beku_#_FUT
Iyuvavanu Iyu(V2)+va_#_PRP+avanu_a_3SM
IyuvavalYu Iyu(V2)+va_#_PRP+avalYu_a_3FM
Iyuvavaru Iyu(V2)+va_#_PRP+avaru_a_3P
Iyaxavanu Iyu(V2)+axa_u_PRP+avanu_a_3SM
IyaxavalYu Iyu(V2)+axa_u_PRP+avalYu_a_3FM
Iyaxavaru Iyu(V2)+axa_u_PRP+avaru_a_3P
iwwavanu Iyu(V2)+iwwa_Iyu_PRP+avanu_a_3SM 
iwwavalYu Iyu(V2)+iwwa_Iyu_PRP+avalYu_a_3FM 
iwwavaru Iyu(V2)+iwwa_Iyu_PRP+avaru_a_3P 
IyalAraxavanu Iyu(V2)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
IyalAraxavalYu Iyu(V2)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
IyalAraxavaru Iyu(V2)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
Iyuwwiruvavanu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
IyuwwiruvavalYu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
Iyuwwiruvavaru Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
Iyuwwiruvuxu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
Iyuwwiruvuvu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
Iyuwwiruva Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_FUTPROG
Iyuwwixxavanu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
IyuwwixxavalYu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
Iyuwwixxavaru Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
Iyuwwixxu Iyu(V2)+wwa_#_AUX+wwixxu_wwa_PRESPROG
Iyuwwixxavu Iyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
Iyaliruvavanu Iyu(V2)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
IyaliruvavalYu Iyu(V2)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
Iyaliruvavaru Iyu(V2)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
Iyaliruvanu Iyu(V2)+alu_u_AUX+liruvanu_lu_3SM
IyaliruvalYu Iyu(V2)+alu_u_AUX+liruvalYu_lu_3SF
Iyaliruvaru Iyu(V2)+alu_u_AUX+liruvaru_lu_3P
Iyaliruvaxu Iyu(V2)+alu_u_AUX+liruvaxu_lu_3SN
Iyaliruvavu Iyu(V2)+alu_u_AUX+liruvavu_lu_3PN
Iyaballavanu Iyu(V2)+a_u_AVY+ballavanu_#_3SM
IyaballavalYu Iyu(V2)+ya_yu_#_AVY+ballavalYu_#_3SF
Iyaballavaru Iyu(V2)+ya_yu_AVY+ballavaru_#_3P
Iyaballaxu Iyu(V2)+ya_yu_AVY+ballaxu_#_3SN
Iyaballavu Iyu(V2)+ya_yu_AVY+ballavu_#_3PN
IyuwwixxAneV Iyu(V2)+wwa_#_AUX+wwixxAneV_wwa_3SM
IyuwwixxAlYeV Iyu(V2)+wwa_#_AUX+wwixxAlYeV_wwa_3FM
IyuwwixxAreV Iyu(V2)+wwa_#_AUX+wwixxAreV_wwa_3FM
IyuwwixeV Iyu(V2)+wwa_#_AUX+wwixeV_wwa_3SN
IyuwwiveV Iyu(V2)+wwa_#_AUX+wwiveV_wwa_3PN

Iyalpattanu Iyu(V2)+alpadu_u_PAST+pattanu_padu_3SM
IyalpattalYu Iyu(V2)+alpadu_u_PAST+pattalYu_padu_3SF
Iyalpattaru Iyu(V2)+alpadu_u_PAST+pattaru_padu_3P
Iyalpattaru Iyu(V2)+alpadu_u_PAST+pattaru_padu_3SH
Iyalpattiwu Iyu(V2)+alpadu_u_PAST+pattiwu_padu_3SN
Iyalpattavu Iyu(V2)+alpadu_u_PAST+pattavu_padu_3PN
IyalpaduwwaxeV Iyu(V2)+alpadu_u_FUT+duwwaxeV_du_3SN
IyalpaduwwaveV Iyu(V2)+alpadu_u_FUT+duwwaveV_du_3PN
Iyalpaduvuxu Iyu(V2)+alpadu_u_FUT+vuxu_#_3SN
Iyalpaduvuvu Iyu(V2)+alpadu_u_FUT+vuvu_#_3PN
Iyalpadanu Iyu(V2)+alpadu_u_FUTNEG+danu_du_3SM
IyalpadalYu Iyu(V2)+alpadu_u_FUTNEG+dalYu_du_3SF
Iyalpadaru Iyu(V2)+alpadu_u_FUTNEG+daru_du_3P
Iyalpadaru Iyu(V2)+alpadu_u_FUTNEG+daru_du_3SH
Iyalpadaxu Iyu(V2)+alpadu_u_FUTNEG+daxu_du_3SN
Iyalpadavu Iyu(V2)+alpadu_u_FUTNEG+davu_du_3PN
IyalpattAnu Iyu(V2)+alpadu_u_FUTDUB+ttAnu_du_3SM
IyalpattAlYu Iyu(V2)+alpadu_u_FUTDUB+ttAlYu_du_3PF
IyalpattAru Iyu(V2)+alpadu_u_FUTDUB+ttAru_du_3P
IyalpattAru Iyu(V2)+alpadu_u_FUTDUB+ttAru_du_3SH
IyalpattIwu Iyu(V2)+alpadu_u_FUTDUB+ttIwu_du_3SN
IyalpattAvu Iyu(V2)+alpadu_u_FUTDUB+ttAvu_du_3PN
Iyalpadabeku Iyu(V2)+alpada_u_#_AVY+beku_#_FUTIMP
IyalpadabAraxu Iyu(V2)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
IyalpadakUdaxu Iyu(V2)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
Iyalpadali Iyu(V2)+alpadu_u_FUTOPT+dali_du_3SN
Iyalpadali Iyu(V2)+alpadu_u_FUTOPT+dali_du_3PN
Iyalpadaballa Iyu(V2)+alpada_u_#_AVY+balla_#_FUTCAP
Iyalpadaballaxu Iyu(V2)+alpada_u_#_AVY+ballaxu_#_FUTCAP
Iyalpadaballavu Iyu(V2)+alpada_u_#_AVY+ballavu_#_FUTCAP
Iyalpadabahuxu Iyu(V2)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3SN
Iyalpadabahuxu Iyu(V2)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3PN
Iyalpadabeku Iyu(V2)+alpada_u_#_AVY+beku_#_FUTCOMP
Iyalpadalebeku Iyu(V2)+alpada_u_#_AVY+lebeku_#_FUTCOMP
IyalpadalAraxu Iyu(V2)+alpadu_u_FUTNEG+alAraxu_u_3SN
IyalpadalAravu Iyu(V2)+alpadu_u_FUTNEG+alAravu_u_3PN
IyalpadalAraxa Iyu(V2)+alpadu_u_NEG+alAraxa_u_3SN
IyalpattarU Iyu(V2)+alpadu_u_FUTCOND+ttarU_du_NFV
Iyalpaduwwa Iyu(V2)+alpadu_u_PRESCONT+uwwa_u_NFV
Iyalpatta Iyu(V2)+alpadu_u_RP+tta_du_PAST
IyalpadaxeV Iyu(V2)+alpadu_u_NEG+axeV_u_NFV	

Iyalpadaxa Iyu(V2)+alpadu_u_NEG+axa_u_NFV
Iyalpattu Iyu(V2)+alpadu_u_PAST+pattu_padu_NFV
Iyalpaduva Iyu(V2)+alpadu_u_FUT+va_#_RP
Iyalpadalu Iyu(V2)+alpadu_u_INFN+alu_u_FUTINCH
IyalpadalikkeV Iyu(V2)+alpadu_u_INFN+alikkeV_u_FUTINCH
IyalpattareV Iyu(V2)+alpadu_u_FUTCOND+pattareV_padu_NFV
Iyalpattalli Iyu(V2)+alpadu_u_FUTCOND+pattalli_padu_NFV
Iyalpaduwwiruva Iyu(V2)+alpadu_u_AUX+uwwiruva_u_RP
Iyalpaduwwixxa Iyu(V2)+alpadu_u_AUX+uwwixxa_u_RP
Iyalpaduwwaliruva Iyu(V2)+alpadu_u_AUX+uwwaliruva_u_RP
IyalpaduwwirabekAxa Iyu(V2)+alpadu_u_AUX+uwwiru_u_AVY+abekAxa_u_3SN
iwwanA Iyu(V2)+iwwanA_Iyu_INTR
iwwalYA Iyu(V2)+iwwalYA_Iyu_INTR
iwwiwA Iyu(V2)+iwwiwA_Iyu_INTR
iwwarA Iyu(V2)+iwwarA_Iyu_INTR
iwwavA Iyu(V2)+iwwavA_Iyu_INTR
IyuwwAnA Iyu(V2)+uwwAnA_u_INTR
IyuwwAlYA Iyu(V2)+uwwAlYA_u_INTR
IyuwwaxA Iyu(V2)+uwwaxA_u_INTR
IyuvanA Iyu(V2)+vanA_#_INTR
IyuvalYA Iyu(V2)+valYA_#_INTR
IyuvuxA Iyu(V2)+vuxA_#_INTR
IyuvarA Iyu(V2)+varA_#_INTR
IyuvuvA Iyu(V2)+vuvA_#_INTR
IyuwwiyA Iyu(V2)+uwwiyA_u_INTR
IyuwwiriyA Iyu(V2)+uwwiriyA_u_INTR
IyuwwIrA Iyu(V2)+uwwIrA_u_INTR
IyuviyA Iyu(V2)+viyA_#_INTR
IyuvirA Iyu(V2)+virA_#_INTR
IyuvuxA Iyu(V2)+vuxA_#_INTR
IyalA Iyu(V2)+alA_u_INTR
IyalikkA Iyu(V2)+alikkA_u_INTR
IyokA Iyu(V2)+okA_u_INTR
IyabekA Iyu(V2)+abekA_u_INTR
IyakUdaxA Iyu(V2)+akUdaxA_u_INTR
IyabAraxA Iyu(V2)+abAraxA_u_INTR
IyanA Iyu(V2)+anA_u_INTR
IyalYA Iyu(V2)+alYA_u_INTR
IyaxA Iyu(V2)+axA_u_INTR
IyarA Iyu(V2)+arA_u_INTR
IyavA Iyu(V2)+avA_u_INTR
IyalAreVvA Iyu(V2)+alAreVvA_u_INTR
IyalAreVnA Iyu(V2)+alAreVnA_u_INTR
IyalAririyA Iyu(V2)+alAririyA_u_INTR
IyalAranA Iyu(V2)+alAranA_u_INTR


IyalAralYA Iyu(V2)+alAralYA_u_INTR
IyalAraxA Iyu(V2)+alAraxA_u_INTR
IyalArarA Iyu(V2)+alArarA_u_INTR
IyalAravA Iyu(V2)+alAravA_u_INTR
IyaballanA Iyu(V2)+aballanA_u_INTR
IyaballalYA Iyu(V2)+aballalYA_u_INTR
IyaballaxA Iyu(V2)+aballaxA_u_INTR
IyaballarA Iyu(V2)+aballarA_u_INTR
IyaballavA Iyu(V2)+aballavA_u_INTR
IyabahuxA Iyu(V2)+abahuxA_u_INTR
IyalebekA Iyu(V2)+alebekA_u_INTR
IyalpattiwA Iyu(V2)+alpattiwA_u_INTR
IyalpattavA Iyu(V2)+alpattavA_u_INTR
IyalpaduwwaxA Iyu(V2)+alpaduwwaxA_u_INTR
IyalpaduwwavA Iyu(V2)+alpaduwwavA_u_INTR
IyalpaduvuxA Iyu(V2)+alpaduvuxA_u_INTR
IyalpaduvuvA Iyu(V2)+alpaduvuvA_u_INTR
IyalpadaxA Iyu(V2)+alpadaxA_u_INTR
IyalpadavA Iyu(V2)+alpadavA_u_INTR
IyalpadabekA Iyu(V2)+alpadabekA_u_INTR
IyalpadabArxA Iyu(V2)+alpadabArxA_u_INTR
IyalpadakUdaxA Iyu(V2)+alpadakUdaxA_u_INTR
IyalpadabahuxA Iyu(V2)+alpadabahuxA_u_INTR
IyalpadalebekA Iyu(V2)+alpadalebekA_u_INTR
IyalpadalAraxA Iyu(V2)+alpadalAraxA_u_INTR
IyalpadalAravA Iyu(V2)+alpadalAravA_u_INTR
iwwane Iyu(V2)+iwwane_Iyu_INTR
iwwalYe Iyu(V2)+iwwalYe_Iyu_INTR
Iyuwwiwe Iyu(V2)+wwiwe_#_INTR
iwware Iyu(V2)+iwware_Iyu_INTR
iwwave Iyu(V2)+iwwave_Iyu_INTR
IyuwwAnye Iyu(V2)+uwwAnye_u_INTR
IyuwwAlYe Iyu(V2)+uwwAlYe_u_INTR
IyuwwaxeVye Iyu(V2)+uwwaxeVye_u_INTR
Iyuvane Iyu(V2)+vane_#_INTR
IyuvalYe Iyu(V2)+valYe_#_INTR
Iyuvuxe Iyu(V2)+vuxe_#_INTR
Iyuvare Iyu(V2)+vare_#_INTR
Iyuvuve Iyu(V2)+vuve_#_INTR

Iyuwwiriye Iyu(V2)+uwwiriye_u_INTR
Iyuwwiye Iyu(V2)+uwwiye_u_INTR
IyuwwIre Iyu(V2)+IyuwwIre_Iyu_INTR
Iyuviye Iyu(V2)+Iyuviye_Iyu_INTR
Iyuvire Iyu(V2)+Iyuvire_Iyu_INTR
Iyuvuxe Iyu(V2)+Iyuvuxe_Iyu_INTR
Iyale Iyu(V2)+ale_u_INTR
Iyalikke Iyu(V2)+alikke_u_INTR
Iyabeke Iyu(V2)+abeke_u_INTR
IyakUdaxe Iyu(V2)+akUdaxe_u_INTR
IyabAraxe Iyu(V2)+abAraxe_u_INTR
Iyane Iyu(V2)+ane_u_INTR
IyalYe Iyu(V2)+alYe_u_INTR
Iyaxe Iyu(V2)+axe_u_INTR
Iyare Iyu(V2)+are_u_INTR
Iyave Iyu(V2)+ave_u_INTR
IyalAreVve Iyu(V2)+alAreVve_u_INTR
IyalAreVne Iyu(V2)+alAreVne_u_INTR
IyalAririye Iyu(V2)+alAririye_u_INTR
IyalArane Iyu(V2)+alArane_u_INTR
IyalAralYe Iyu(V2)+alAralYe_u_INTR
IyalAraxe Iyu(V2)+alAraxe_u_INTR
IyalArare Iyu(V2)+alArare_u_INTR
IyalArave Iyu(V2)+alArave_u_INTR
Iyaballane Iyu(V2)+aballane_u_INTR
IyaballalYe Iyu(V2)+aballalYe_u_INTR
Iyaballaxe Iyu(V2)+aballaxe_u_INTR
Iyaballare Iyu(V2)+aballare_u_INTR
Iyaballave Iyu(V2)+aballave_u_INTR
Iyabahuxe Iyu(V2)+abahuxe_u_INTR
Iyalebeke Iyu(V2)+alebeke_u_INTR
Iyalpattiwe Iyu(V2)+alpattiwe_u_INTR
Iyalpattave Iyu(V2)+alpattave_u_INTR
Iyalpadiwwaxye Iyu(V2)+alpadiwwaxye_u_INTR
Iyalpadiwwavye Iyu(V2)+alpadiwwavye_u_INTR
Iyalpaduvuxe Iyu(V2)+alpaduvuxe_u_INTR
Iyalpaduvuve Iyu(V2)+alpaduvuve_u_INTR
Iyalpadaxe Iyu(V2)+alpadaxe_u_INTR
Iyalpadave Iyu(V2)+alpadave_u_INTR
Iyalpadabeke Iyu(V2)+alpadabeke_u_INTR
IyalpadabArxe Iyu(V2)+alpadabArxe_u_INTR
IyalpadakUdaxe Iyu(V2)+alpadakUdaxe_u_INTR

Iyalpadaballaxe Iyu(V2)+alpadaballaxe_u_INTR
Iyalpadabahuxe Iyu(V2)+alpadabahuxe_u_INTR
Iyalpadalebeke Iyu(V2)+alpadalebeke_u_INTR
IyalpadalAraxe Iyu(V2)+alpadalAraxe_u_INTR
IyalpadalArave Iyu(V2)+alpadalArave_u_INTR
iwwano Iyu(V2)+iwwano_Iyu_INDF
iwwalYo Iyu(V2)+iwwalYo_Iyu_INDF
iwwiwo Iyu(V2)+iwwiwo_Iyu_INDF
iwwaro Iyu(V2)+iwwaro_Iyu_INDF
iwwavo Iyu(V2)+iwwavo_Iyu_INDF
IyuwwAno Iyu(V2)+wwAno_#_INDF
IyuwwAlYo Iyu(V2)+wwAlYo_#_INDF
IyuwwadeVyo Iyu(V2)+wwadeVyo_#_INDF
Iyuvano Iyu(V2)+Iyuvano_Iyu_INDF
IyuvalYo Iyu(V2)+IyuvalYo_Iyu_INDF
Iyuvuxo Iyu(V2)+Iyuvuxo_Iyu_INDF
Iyuvaro Iyu(V2)+Iyuvaro_Iyu_INDF
Iyuvuvo Iyu(V2)+Iyuvuvo_Iyu_INDF
Iyuvuxo Iyu(V2)+Iyuvuxo_Iyu_INDF
Iyalo Iyu(V2)+alo_u_INDF
Iyalikko Iyu(V2)+alikko_u_INDF
Iyabeko Iyu(V2)+abeko_u_INDF
IyakUdaxo Iyu(V2)+akUdaxo_u_INDF
IyabAraxo Iyu(V2)+abAraxo_u_INDF
Iyano Iyu(V2)+ano_u_INDF
IyalYo Iyu(V2)+alYo_u_INDF
Iyaxo Iyu(V2)+axo_u_INDF
Iyaro Iyu(V2)+aro_u_INDF
Iyavo Iyu(V2)+avo_u_INDF
IyalArano Iyu(V2)+alArano_u_INDF
IyalAralYo Iyu(V2)+alAralYo_u_INDF
IyalAraxo Iyu(V2)+alAraxo_u_INDF
IyalAraro Iyu(V2)+alAraro_u_INDF
IyalAravo Iyu(V2)+alAravo_u_INDF
Iyaballano Iyu(V2)+aballano_u_INDF
IyaballalYo Iyu(V2)+aballalYo_u_INDF
Iyaballaxo Iyu(V2)+aballaxo_u_INDF
Iyaballaro Iyu(V2)+aballaro_u_INDF
Iyaballavo Iyu(V2)+aballavo_u_INDF
Iyalpattiwo Iyu(V2)+alpattiwo_u_INDF
Iyalpattavo Iyu(V2)+alpattavo_u_INDF
Iyalpaduwwaxo Iyu(V2)+alpaduwwaxo_u_INDF
Iyalpaduwwaveyo Iyu(V2)+alpaduwwaveyo_u_INDF
Iyalpaduvuxo Iyu(V2)+alpaduvuxo_u_INDF
Iyalpaduvuvo Iyu(V2)+alpaduvuvo_u_INDF
Iyalpadaxo Iyu(V2)+alpadaxo_u_INDF
Iyalpadavo Iyu(V2)+alpadavo_u_INDF
Iyalpadabeko Iyu(V2)+alpadabeko_u_INDF
IyalpadabAraxo Iyu(V2)+alpadabAraxo_u_INDF
IyalpadakUdaxo Iyu(V2)+alpadakUdaxo_u_INDF
Iyalpadalo Iyu(V2)+alpadalo_u_INDF
Iyalpadaballaxo Iyu(V2)+alpadaballaxo_u_INDF
Iyalpadabahuxo Iyu(V2)+alpadabahuxo_u_INDF
Iyalpadalebeko Iyu(V2)+alpadalebeko_u_INDF
IyalpadalAraxo Iyu(V2)+alpadalAraxo_u_INDF
IyalpadalAravo Iyu(V2)+alpadalAravo_u_INDF
Iyalpadiwwaxo Iyu(V2)+alpadiwwaxo_u_INDF
IyalpadaxeVyo Iyu(V2)+alpadaxeVyo_u_INDF
Iyalpatto Iyu(V2)+alpatto_u_INDF
Iyalpadalo Iyu(V2)+alpadalo_u_INDF
Iyalpadalikko Iyu(V2)+alpadalikko_u_INDF
Iyalpattaro Iyu(V2)+alpattaro_u_INDF
Iyalpattalliyo Iyu(V2)+alpattalliyo_u_INDF
Iyuvuxe Iyu(V2)+Iyuvuxe_Iyu_IMP
IyuvuxakkeVye Iyu(V2)+IyuvuxakkeVye_Iyu_IMP
Iyale Iyu(V2)+ale_u_IMPH
Iyalikke Iyu(V2)+alikke_u_IMP
Iyalikkye Iyu(V2)+alikkye_u_IMP
Iyuwwale Iyu(V2)+uwwale_u_IMP
Iyuwwe Iyu(V2)+wwe_#_IMP
Iyalpaduvuxe Iyu(V2)+alpaduvuxe_u_IMP
Iyalpaduvuxakkeye Iyu(V2)+alpaduvuxakkeye_u_IMP
Iyalpatte Iyu(V2)+alpatte_u_IMP
Iyalpaduwwale Iyu(V2)+alpaduwwale_u_IMP
IyuvuxU Iyu(V2)+IyuvuxU_Iyu_INCL
iwwU Iyu(V2)+iwwU_Iyu_INCL
IyalU Iyu(V2)+alU_u_INCL
IyalikkyU Iyu(V2)+alikkyU_u_INCL
IyalikkU Iyu(V2)+alikkU_u_INCL
IyanU Iyu(V2)+anU_u_INCL
IyalYU Iyu(V2)+alYU_u_INCL
IyaxU Iyu(V2)+axU_u_INCL
IyarU Iyu(V2)+arU_u_INCL
IyavU Iyu(V2)+avU_u_INCL
iwwarU Iyu(V2)+iwwarU_Iyu_INCL
IyuwwalU Iyu(V2)+uwwalU_u_INCL
iwwalliyU Iyu(V2)+iwwalliyU_Iyu_INCL
IyalpadiwwalU Iyu(V2)+alpadiwwalU_u_INCL
IyalpadiwwaveVyU Iyu(V2)+alpadiwwaveVyU_u_INCL
IyalpaduvuxU Iyu(V2)+alpaduvuxU_u_INCL
IyalpaduvuvU Iyu(V2)+alpaduvuvU_u_INCL
IyalpattarU Iyu(V2)+alpattarU_u_INCL
IyalpaduwwalU Iyu(V2)+alpaduwwalU_u_INCL
IyalpadalU Iyu(V2)+alpadalU_u_INCL
IyalpadalikkeyU Iyu(V2)+alpadalikkeyU_u_INCL
IyalpattalliyU Iyu(V2)+alpattalliyU_u_INCL
Iyuvuxannu Iyu(V2)+vuxannu_#_ACC
IyuvuxariMxa Iyu(V2)+vuxariMxa_#_INS
IyuvuxakkeV Iyu(V2)+vuxakkeV_#_DAT
IyuvuxariMxa Iyu(V2)+vuxariMxa_#_ABL
