magalYannu magalYu(N28FEM)+annu_u_ACC
magalYugalYigo magalYu(N28FEM)+galYu_#_DAT+lYigo_lYu_PRES
magalYugalYige magalYu(N28FEM)+galYu_#_DAT+lYige_lYu_IMPH
magalYugalYige magalYu(N28FEM)+galYu_#_DAT+lYige_lYu_DECL
magalYugalYige magalYu(N28FEM)+galYu_#_DAT+lYige_lYu_RIS
magalYugalYiMxalA magalYu(N28FEM)+galYu_#_ABL+lYiMxalA_lYu_INTR
magalYugalYiMxalU magalYu(N28FEM)+galYu_#_ABL+lYiMxalU_lYu_INCL
magalYugalYiMxalo magalYu(N28FEM)+galYu_#_ABL+lYiMxalo_lYu_DUB
magalYugalYiMxalo magalYu(N28FEM)+galYu_#_ABL+lYiMxalo_lYu_INDF
magalYugalYiMxalo magalYu(N28FEM)+galYu_#_ABL+lYiMxalo_lYu_PRES
magalYugalYiMxale magalYu(N28FEM)+galYu_#_ABL+lYiMxale_lYu_IMPH
magalYugalYiMxale magalYu(N28FEM)+galYu_#_ABL+lYiMxale_lYu_DECL
magalYugalYiMxale magalYu(N28FEM)+galYu_#_ABL+lYiMxale_lYu_RIS
magalYugalYallA magalYu(N28FEM)+galYu_#_LOC+lYallA_lYu_INTR
magalYugalYallU magalYu(N28FEM)+galYu_#_LOC+lYallU_lYu_INCL
magalYugalYallo magalYu(N28FEM)+galYu_#_LOC+lYallo_lYu_DUB
magalYugalYallo magalYu(N28FEM)+galYu_#_LOC+lYallo_lYu_INDF
magalYugalYallo magalYu(N28FEM)+galYu_#_LOC+lYallo_lYu_PRES
magalYugalYalle magalYu(N28FEM)+galYu_#_LOC+lYalle_lYu_IMPH
magalYugalYalle magalYu(N28FEM)+galYu_#_LOC+lYalle_lYu_DECL
magalYugalYalle magalYu(N28FEM)+galYu_#_LOC+lYalle_lYu_RIS
magalYigoskaravA magalYu(N28FEM)+igoskara_u_BEN+vA_#_INTR
magalYigoskaravU magalYu(N28FEM)+igoskara_u_BEN+vU_#_INCL
magalYigoskaravo magalYu(N28FEM)+igoskara_u_BEN+vo_#_DUB
magalYigoskaravo magalYu(N28FEM)+igoskara_u_BEN+vo_#_INDF
magalYigoskaravo magalYu(N28FEM)+igoskara_u_BEN+vo_#_PRES
magalYigoskarave magalYu(N28FEM)+igoskara_u_BEN+ve_#_IMPH
magalYigoskarave magalYu(N28FEM)+igoskara_u_BEN+ve_#_DECL
magalYigoskarave magalYu(N28FEM)+igoskara_u_BEN+ve_#_RIS
magalYigoskaravA magalYu(N28FEM)+igoskara_u_PUR+vA_#_INTR
magalYigoskaravU magalYu(N28FEM)+igoskara_u_PUR+vU_#_INCL
magalYigoskaravo magalYu(N28FEM)+igoskara_u_PUR+vo_#_DUB
magalYigoskaravo magalYu(N28FEM)+igoskara_u_PUR+vo_#_INDF
magalYigoskaravo magalYu(N28FEM)+igoskara_u_PUR+vo_#_PRES
magalYigoskarave magalYu(N28FEM)+igoskara_u_PUR+ve_#_IMPH
magalYigoskarave magalYu(N28FEM)+igoskara_u_PUR+ve_#_DECL
magalYigoskarave magalYu(N28FEM)+igoskara_u_PUR+ve_#_RIS
magalYigAgiyA magalYu(N28FEM)+igAgi_u_BEN+yA_#_INTR
magalYigAgiyU magalYu(N28FEM)+igAgi_u_BEN+yU_#_INCL
magalYigAgiyo magalYu(N28FEM)+igAgi_u_BEN+yo_#_DUB
magalYigAgiyo magalYu(N28FEM)+igAgi_u_BEN+yo_#_INDF
magalYigAgiyo magalYu(N28FEM)+igAgi_u_BEN+yo_#_PRES
magalYigAgiye magalYu(N28FEM)+igAgi_u_BEN+ye_#_IMPH
magalYigAgiye magalYu(N28FEM)+igAgi_u_BEN+ye_#_DECL
magalYigAgiye magalYu(N28FEM)+igAgi_u_BEN+ye_#_RIS
magalYigAgiyA magalYu(N28FEM)+igAgi_u_PUR+yA_#_INTR
magalYigAgiyU magalYu(N28FEM)+igAgi_u_PUR+yU_#_INCL
magalYigAgiyo magalYu(N28FEM)+igAgi_u_PUR+yo_#_DUB
magalYigAgiyo magalYu(N28FEM)+igAgi_u_PUR+yo_#_INDF
magalYigAgiyo magalYu(N28FEM)+igAgi_u_PUR+yo_#_PRES
magalYigAgiye magalYu(N28FEM)+igAgi_u_PUR+ye_#_IMPH
magalYigAgiye magalYu(N28FEM)+igAgi_u_PUR+ye_#_DECL
magalYigAgiye magalYu(N28FEM)+igAgi_u_PUR+ye_#_RIS
magalYigosugavA magalYu(N28FEM)+igosuga_u_BEN+vA_#_INTR
magalYigosugavU magalYu(N28FEM)+igosuga_u_BEN+vU_#_INCL
magalYigosugavo magalYu(N28FEM)+igosuga_u_BEN+vo_#_DUB
magalYigosugavo magalYu(N28FEM)+igosuga_u_BEN+vo_#_INDF
magalYigosugavo magalYu(N28FEM)+igosuga_u_BEN+vo_#_PRES
magalYigosugave magalYu(N28FEM)+igosuga_u_BEN+ve_#_IMPH
magalYigosugave magalYu(N28FEM)+igosuga_u_BEN+ve_#_DECL
magalYigosugave magalYu(N28FEM)+igosuga_u_BEN+ve_#_RIS
magalYigosugavA magalYu(N28FEM)+igosuga_u_PUR+vA_#_INTR
magalYigosugavU magalYu(N28FEM)+igosuga_u_PUR+vU_#_INCL
magalYigosugavo magalYu(N28FEM)+igosuga_u_PUR+vo_#_DUB
magalYigosugavo magalYu(N28FEM)+igosuga_u_PUR+vo_#_INDF
magalYigosugavo magalYu(N28FEM)+igosuga_u_PUR+vo_#_PRES
magalYigosugave magalYu(N28FEM)+igosuga_u_PUR+ve_#_IMPH
magalYigosugave magalYu(N28FEM)+igosuga_u_PUR+ve_#_DECL
magalYigosugave magalYu(N28FEM)+igosuga_u_PUR+ve_#_RIS
magalYigiMwalA magalYu(N28FEM)+igiMwa_u_COMP+lA_#_INTR
magalYigiMwalU magalYu(N28FEM)+igiMwa_u_COMP+lU_#_INCL
magalYigiMwalo magalYu(N28FEM)+igiMwa_u_COMP+lo_#_DUB
magalYigiMwalo magalYu(N28FEM)+igiMwa_u_COMP+lo_#_INDF
magalYigiMwalo magalYu(N28FEM)+igiMwa_u_COMP+lo_#_PRES
magalYigiMwale magalYu(N28FEM)+igiMwa_u_COMP+le_#_IMPH
magalYigiMwale magalYu(N28FEM)+igiMwa_u_COMP+le_#_DECL
magalYigiMwale magalYu(N28FEM)+igiMwa_u_COMP+le_#_RIS
magalYaMweVyA magalYu(N28FEM)+aMweV_u_SIM+yA_#_INTR
magalYaMweVyU magalYu(N28FEM)+aMweV_u_SIM+yU_#_INCL
magalYaMweVyo magalYu(N28FEM)+aMweV_u_SIM+yo_#_DUB
magalYaMweVyo magalYu(N28FEM)+aMweV_u_SIM+yo_#_INDF
magalYaMweVyo magalYu(N28FEM)+aMweV_u_SIM+yo_#_PRES
magalYaMweVye magalYu(N28FEM)+aMweV_u_SIM+ye_#_IMPH
magalYaMweVye magalYu(N28FEM)+aMweV_u_SIM+ye_#_DECL
magalYaMweVye magalYu(N28FEM)+aMweV_u_SIM+ye_#_RIS
magalYoVdaneVyA magalYu(N28FEM)+oVdaneV_u_SOC+yA_#_INTR
magalYoVdaneVyU magalYu(N28FEM)+oVdaneV_u_SOC+yU_#_INCL
magalYoVdaneVyo magalYu(N28FEM)+oVdaneV_u_SOC+yo_#_DUB
magalYoVdaneVyo magalYu(N28FEM)+oVdaneV_u_SOC+yo_#_INDF
magalYoVdaneVyo magalYu(N28FEM)+oVdaneV_u_SOC+yo_#_PRES
magalYoVdaneVye magalYu(N28FEM)+oVdaneV_u_SOC+ye_#_IMPH
magalYoVdaneVye magalYu(N28FEM)+oVdaneV_u_SOC+ye_#_DECL
magalYoVdaneVye magalYu(N28FEM)+oVdaneV_u_SOC+ye_#_RIS
magalYoVMxigeVyA magalYu(N28FEM)+oVMxigeV_u_SOC+yA_#_INTR
magalYoVMxigeVyU magalYu(N28FEM)+oVMxigeV_u_SOC+yU_#_INCL
magalYoVMxigeVyo magalYu(N28FEM)+oVMxigeV_u_SOC+yo_#_DUB
magalYoVMxigeVyo magalYu(N28FEM)+oVMxigeV_u_SOC+yo_#_INDF
magalYoVMxigeVyo magalYu(N28FEM)+oVMxigeV_u_SOC+yo_#_PRES
magalYoVMxigeVye magalYu(N28FEM)+oVMxigeV_u_SOC+ye_#_IMPH
magalYoVMxigeVye magalYu(N28FEM)+oVMxigeV_u_SOC+ye_#_DECL
magalYoVMxigeVye magalYu(N28FEM)+oVMxigeV_u_SOC+ye_#_RIS

