toVmyAtoVgalYu toVmyAtoV(N22NUET)+galYu_#_PL
toVmyAtoVvigiMwa toVmyAtoV(N22NUET)+vigiMwa_#_COMP
toVmyAtoVgalYigiMwa toVmyAtoV(N22NUET)+galYu_#_PL+lYigiMwa_lYu_COMP
toVmyAtoVvinaMweV toVmyAtoV(N22NUET)+vinaMweV_#_SIM
toVmyAtoVgalYaMweV toVmyAtoV(N22NUET)+galYu_#_PL+lYaMweV_lYu_SIM
toVmyAtoVvinaMwa toVmyAtoV(N22NUET)+vinaMwa_#_SIM
toVmyAtoVgalYaMwa toVmyAtoV(N22NUET)+galYu_#_PL+lYaMwa_lYu_SIM
toVmyAtoVvinaMwaha toVmyAtoV(N22NUET)+vinaMwaha_#_SIM
toVmyAtoVgalYaMwaha toVmyAtoV(N22NUET)+galYu_#_PL+lYaMwaha_lYu_SIM
toVmyAtoVvinoVdaneV toVmyAtoV(N22NUET)+vinoVdaneV_#_SOC
toVmyAtoVgalYoVdaneV toVmyAtoV(N22NUET)+galYu_#_PL+lYoVdaneV_lYu_SOC
toVmyAtoVvinoVMxigeV toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC
toVmyAtoVgalYoVMxigeV toVmyAtoV(N22NUET)+galYu_#_PL+lYoVMxigeV_lYu_SOC
toVmyAtoVvA toVmyAtoV(N22NUET)+vu_#_NOM+vA_vu_INTR
toVmyAtoVvU toVmyAtoV(N22NUET)+vu_#_NOM+vU_vu_INCL
toVmyAtoVvo toVmyAtoV(N22NUET)+vu_#_NOM+vo_vu_DUB
toVmyAtoVvo toVmyAtoV(N22NUET)+vu_#_NOM+vo_vu_INDF
toVmyAtoVvo toVmyAtoV(N22NUET)+vu_#_NOM+vo_vu_PRES
toVmyAtoVve toVmyAtoV(N22NUET)+vu_#_NOM+ve_vu_IMPH
toVmyAtoVve toVmyAtoV(N22NUET)+vu_#_NOM+ve_vu_DECL
toVmyAtoVve toVmyAtoV(N22NUET)+vu_#_NOM+ve_vu_RIS
toVmyAtoVvannA toVmyAtoV(N22NUET)+vannu_#_ACC+nnA_nnu_INTR
toVmyAtoVvannU toVmyAtoV(N22NUET)+vannu_#_ACC+nnU_nnu_INCL
toVmyAtoVvanno toVmyAtoV(N22NUET)+vannu_#_ACC+nno_nnu_DUB
toVmyAtoVvanno toVmyAtoV(N22NUET)+vannu_#_ACC+nno_nnu_INDF
toVmyAtoVvanno toVmyAtoV(N22NUET)+vannu_#_ACC+nno_nnu_PRES
toVmyAtoVvanne toVmyAtoV(N22NUET)+vannu_#_ACC+nne_nnu_IMPH
toVmyAtoVvanne toVmyAtoV(N22NUET)+vannu_#_ACC+nne_nnu_DECL
toVmyAtoVvanne toVmyAtoV(N22NUET)+vannu_#_ACC+nne_nnu_RIS
toVmyAtoVviniMxalA toVmyAtoV(N22NUET)+viniMxa_#_INS+lA_#_INTR
toVmyAtoVviniMxalU toVmyAtoV(N22NUET)+viniMxa_#_INS+lU_#_INCL
toVmyAtoVviniMxalo toVmyAtoV(N22NUET)+viniMxa_#_INS+lo_#_DUB
toVmyAtoVviniMxalo toVmyAtoV(N22NUET)+viniMxa_#_INS+lo_#_INDF
toVmyAtoVviniMxalo toVmyAtoV(N22NUET)+viniMxa_#_INS+lo_#_PRES
toVmyAtoVviniMxale toVmyAtoV(N22NUET)+viniMxa_#_INS+le_#_IMPH
toVmyAtoVviniMxale toVmyAtoV(N22NUET)+viniMxa_#_INS+le_#_DECL
toVmyAtoVviniMxale toVmyAtoV(N22NUET)+viniMxa_#_INS+le_#_RIS
toVmyAtoVvigA toVmyAtoV(N22NUET)+vigeV_#_DAT+gA_geV_INTR
toVmyAtoVvigU toVmyAtoV(N22NUET)+vigeV_#_DAT+gU_geV_INCL
toVmyAtoVvigo toVmyAtoV(N22NUET)+vigeV_#_DAT+go_geV_DUB
toVmyAtoVvigo toVmyAtoV(N22NUET)+vigeV_#_DAT+go_geV_INDF
toVmyAtoVvigo toVmyAtoV(N22NUET)+vigeV_#_DAT+go_geV_PRES
toVmyAtoVvige toVmyAtoV(N22NUET)+vigeV_#_DAT+ge_geV_IMPH
toVmyAtoVvige toVmyAtoV(N22NUET)+vigeV_#_DAT+ge_geV_DECL
toVmyAtoVvige toVmyAtoV(N22NUET)+vigeV_#_DAT+ge_geV_RIS
toVmyAtoVviniMxalA toVmyAtoV(N22NUET)+viniMxa_#_ABL+lA_#_INTR
toVmyAtoVviniMxalU toVmyAtoV(N22NUET)+viniMxa_#_ABL+lU_#_INCL
toVmyAtoVviniMxalo toVmyAtoV(N22NUET)+viniMxa_#_ABL+lo_#_DUB
toVmyAtoVviniMxalo toVmyAtoV(N22NUET)+viniMxa_#_ABL+lo_#_INDF
toVmyAtoVviniMxalo toVmyAtoV(N22NUET)+viniMxa_#_ABL+lo_#_PRES
toVmyAtoVviniMxale toVmyAtoV(N22NUET)+viniMxa_#_ABL+le_#_IMPH
toVmyAtoVviniMxale toVmyAtoV(N22NUET)+viniMxa_#_ABL+le_#_DECL
toVmyAtoVviniMxale toVmyAtoV(N22NUET)+viniMxa_#_ABL+le_#_RIS
toVmyAtoVvinalliyA toVmyAtoV(N22NUET)+vinalli_#_LOC+yA_#_INTR
toVmyAtoVvinalliyU toVmyAtoV(N22NUET)+vinalli_#_LOC+yU_#_INCL
toVmyAtoVvinalliyo toVmyAtoV(N22NUET)+vinalli_#_LOC+yo_#_DUB
toVmyAtoVvinalliyo toVmyAtoV(N22NUET)+vinalli_#_LOC+yo_#_INDF
toVmyAtoVvinalliyo toVmyAtoV(N22NUET)+vinalli_#_LOC+yo_#_PRES
toVmyAtoVvinalliye toVmyAtoV(N22NUET)+vinalli_#_LOC+ye_#_IMPH
toVmyAtoVvinalliye toVmyAtoV(N22NUET)+vinalli_#_LOC+ye_#_DECL
toVmyAtoVvinalliye toVmyAtoV(N22NUET)+vinalli_#_LOC+ye_#_RIS
toVmyAtoVgalYA toVmyAtoV(N22NUET)+galYu_#_NOM+lYA_lYu_INTR
toVmyAtoVgalYU toVmyAtoV(N22NUET)+galYu_#_NOM+lYU_lYu_INCL
toVmyAtoVgalYo toVmyAtoV(N22NUET)+galYu_#_NOM+lYo_lYu_DUB
toVmyAtoVgalYo toVmyAtoV(N22NUET)+galYu_#_NOM+lYo_lYu_INDF
toVmyAtoVgalYo toVmyAtoV(N22NUET)+galYu_#_NOM+lYo_lYu_PRES
toVmyAtoVgalYe toVmyAtoV(N22NUET)+galYu_#_NOM+lYe_lYu_IMPH
toVmyAtoVgalYe toVmyAtoV(N22NUET)+galYu_#_NOM+lYe_lYu_DECL
toVmyAtoVgalYe toVmyAtoV(N22NUET)+galYu_#_NOM+lYe_lYu_RIS
toVmyAtoVgalYannA toVmyAtoV(N22NUET)+galYu_#_ACC+lYannA_lYu_INTR
toVmyAtoVgalYannU toVmyAtoV(N22NUET)+galYu_#_ACC+lYannU_lYu_INCL
toVmyAtoVgalYanno toVmyAtoV(N22NUET)+galYu_#_ACC+lYanno_lYu_DUB
toVmyAtoVgalYanno toVmyAtoV(N22NUET)+galYu_#_ACC+lYanno_lYu_INDF
toVmyAtoVgalYanno toVmyAtoV(N22NUET)+galYu_#_ACC+lYanno_lYu_PRES
toVmyAtoVgalYanne toVmyAtoV(N22NUET)+galYu_#_ACC+lYanne_lYu_IMPH
toVmyAtoVgalYanne toVmyAtoV(N22NUET)+galYu_#_ACC+lYanne_lYu_DECL
toVmyAtoVgalYanne toVmyAtoV(N22NUET)+galYu_#_ACC+lYanne_lYu_RIS
toVmyAtoVgalYiMxalA toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxalA_lYu_INTR
toVmyAtoVgalYiMxalU toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxalU_lYu_INCL
toVmyAtoVgalYiMxalo toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxalo_lYu_DUB
toVmyAtoVgalYiMxalo toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxalo_lYu_INDF
toVmyAtoVgalYiMxalo toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxalo_lYu_PRES
toVmyAtoVgalYiMxale toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxale_lYu_IMPH
toVmyAtoVgalYiMxale toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxale_lYu_DECL
toVmyAtoVgalYiMxale toVmyAtoV(N22NUET)+galYu_#_INS+lYiMxale_lYu_RIS
toVmyAtoVgalYigA toVmyAtoV(N22NUET)+galYu_#_DAT+lYigA_lYu_INTR
toVmyAtoVgalYigU toVmyAtoV(N22NUET)+galYu_#_DAT+lYigU_lYu_INCL
toVmyAtoVgalYigo toVmyAtoV(N22NUET)+galYu_#_DAT+lYigo_lYu_DUB
toVmyAtoVgalYigo toVmyAtoV(N22NUET)+galYu_#_DAT+lYigo_lYu_INDF
toVmyAtoVgalYigo toVmyAtoV(N22NUET)+galYu_#_DAT+lYigo_lYu_PRES
toVmyAtoVgalYige toVmyAtoV(N22NUET)+galYu_#_DAT+lYige_lYu_IMPH
toVmyAtoVgalYige toVmyAtoV(N22NUET)+galYu_#_DAT+lYige_lYu_DECL
toVmyAtoVgalYige toVmyAtoV(N22NUET)+galYu_#_DAT+lYige_lYu_RIS
toVmyAtoVgalYiMxalA toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxalA_lYu_INTR
toVmyAtoVgalYiMxalU toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxalU_lYu_INCL
toVmyAtoVgalYiMxalo toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxalo_lYu_DUB
toVmyAtoVgalYiMxalo toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxalo_lYu_INDF
toVmyAtoVgalYiMxalo toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxalo_lYu_PRES
toVmyAtoVgalYiMxale toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxale_lYu_IMPH
toVmyAtoVgalYiMxale toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxale_lYu_DECL
toVmyAtoVgalYiMxale toVmyAtoV(N22NUET)+galYu_#_ABL+lYiMxale_lYu_RIS
toVmyAtoVgalYallA toVmyAtoV(N22NUET)+galYu_#_LOC+lYallA_lYu_INTR
toVmyAtoVgalYallU toVmyAtoV(N22NUET)+galYu_#_LOC+lYallU_lYu_INCL
toVmyAtoVgalYallo toVmyAtoV(N22NUET)+galYu_#_LOC+lYallo_lYu_DUB
toVmyAtoVgalYallo toVmyAtoV(N22NUET)+galYu_#_LOC+lYallo_lYu_INDF
toVmyAtoVgalYallo toVmyAtoV(N22NUET)+galYu_#_LOC+lYallo_lYu_PRES
toVmyAtoVgalYalle toVmyAtoV(N22NUET)+galYu_#_LOC+lYalle_lYu_IMPH
toVmyAtoVgalYalle toVmyAtoV(N22NUET)+galYu_#_LOC+lYalle_lYu_DECL
toVmyAtoVgalYalle toVmyAtoV(N22NUET)+galYu_#_LOC+lYalle_lYu_RIS
toVmyAtoVvigoskaravA toVmyAtoV(N22NUET)+vigoskara_#_BEN+vA_#_INTR
toVmyAtoVvigoskaravU toVmyAtoV(N22NUET)+vigoskara_#_BEN+vU_#_INCL
toVmyAtoVvigoskaravo toVmyAtoV(N22NUET)+vigoskara_#_BEN+vo_#_DUB
toVmyAtoVvigoskaravo toVmyAtoV(N22NUET)+vigoskara_#_BEN+vo_#_INDF
toVmyAtoVvigoskaravo toVmyAtoV(N22NUET)+vigoskara_#_BEN+vo_#_PRES
toVmyAtoVvigoskarave toVmyAtoV(N22NUET)+vigoskara_#_BEN+ve_#_IMPH
toVmyAtoVvigoskarave toVmyAtoV(N22NUET)+vigoskara_#_BEN+ve_#_DECL
toVmyAtoVvigoskarave toVmyAtoV(N22NUET)+vigoskara_#_BEN+ve_#_RIS
toVmyAtoVvigoskaravA toVmyAtoV(N22NUET)+vigoskara_#_PUR+vA_#_INTR
toVmyAtoVvigoskaravU toVmyAtoV(N22NUET)+vigoskara_#_PUR+vU_#_INCL
toVmyAtoVvigoskaravo toVmyAtoV(N22NUET)+vigoskara_#_PUR+vo_#_DUB
toVmyAtoVvigoskaravo toVmyAtoV(N22NUET)+vigoskara_#_PUR+vo_#_INDF
toVmyAtoVvigoskaravo toVmyAtoV(N22NUET)+vigoskara_#_PUR+vo_#_PRES
toVmyAtoVvigoskarave toVmyAtoV(N22NUET)+vigoskara_#_PUR+ve_#_IMPH
toVmyAtoVvigoskarave toVmyAtoV(N22NUET)+vigoskara_#_PUR+ve_#_DECL
toVmyAtoVvigoskarave toVmyAtoV(N22NUET)+vigoskara_#_PUR+ve_#_RIS
toVmyAtoVvigAgiyA toVmyAtoV(N22NUET)+vigAgi_#_BEN+yA_#_INTR
toVmyAtoVvigAgiyU toVmyAtoV(N22NUET)+vigAgi_#_BEN+yU_#_INCL
toVmyAtoVvigAgiyo toVmyAtoV(N22NUET)+vigAgi_#_BEN+yo_#_DUB
toVmyAtoVvigAgiyo toVmyAtoV(N22NUET)+vigAgi_#_BEN+yo_#_INDF
toVmyAtoVvigAgiyo toVmyAtoV(N22NUET)+vigAgi_#_BEN+yo_#_PRES
toVmyAtoVvigAgiye toVmyAtoV(N22NUET)+vigAgi_#_BEN+ye_#_IMPH
toVmyAtoVvigAgiye toVmyAtoV(N22NUET)+vigAgi_#_BEN+ye_#_DECL
toVmyAtoVvigAgiye toVmyAtoV(N22NUET)+vigAgi_#_BEN+ye_#_RIS
toVmyAtoVvigAgiyA toVmyAtoV(N22NUET)+vigAgi_#_PUR+yA_#_INTR
toVmyAtoVvigAgiyU toVmyAtoV(N22NUET)+vigAgi_#_PUR+yU_#_INCL
toVmyAtoVvigAgiyo toVmyAtoV(N22NUET)+vigAgi_#_PUR+yo_#_DUB
toVmyAtoVvigAgiyo toVmyAtoV(N22NUET)+vigAgi_#_PUR+yo_#_INDF
toVmyAtoVvigAgiyo toVmyAtoV(N22NUET)+vigAgi_#_PUR+yo_#_PRES
toVmyAtoVvigAgiye toVmyAtoV(N22NUET)+vigAgi_#_PUR+ye_#_IMPH
toVmyAtoVvigAgiye toVmyAtoV(N22NUET)+vigAgi_#_PUR+ye_#_DECL
toVmyAtoVvigAgiye toVmyAtoV(N22NUET)+vigAgi_#_PUR+ye_#_RIS
toVmyAtoVvigosugavA toVmyAtoV(N22NUET)+vigosuga_#_BEN+vA_#_INTR
toVmyAtoVvigosugavU toVmyAtoV(N22NUET)+vigosuga_#_BEN+vU_#_INCL
toVmyAtoVvigosugavo toVmyAtoV(N22NUET)+vigosuga_#_BEN+vo_#_DUB
toVmyAtoVvigosugavo toVmyAtoV(N22NUET)+vigosuga_#_BEN+vo_#_INDF
toVmyAtoVvigosugavo toVmyAtoV(N22NUET)+vigosuga_#_BEN+vo_#_PRES
toVmyAtoVvigosugave toVmyAtoV(N22NUET)+vigosuga_#_BEN+ve_#_IMPH
toVmyAtoVvigosugave toVmyAtoV(N22NUET)+vigosuga_#_BEN+ve_#_DECL
toVmyAtoVvigosugave toVmyAtoV(N22NUET)+vigosuga_#_BEN+ve_#_RIS
toVmyAtoVvigosugavA toVmyAtoV(N22NUET)+vigosuga_#_PUR+vA_#_INTR
toVmyAtoVvigosugavU toVmyAtoV(N22NUET)+vigosuga_#_PUR+vU_#_INCL
toVmyAtoVvigosugavo toVmyAtoV(N22NUET)+vigosuga_#_PUR+vo_#_DUB
toVmyAtoVvigosugavo toVmyAtoV(N22NUET)+vigosuga_#_PUR+vo_#_INDF
toVmyAtoVvigosugavo toVmyAtoV(N22NUET)+vigosuga_#_PUR+vo_#_PRES
toVmyAtoVvigosugave toVmyAtoV(N22NUET)+vigosuga_#_PUR+ve_#_IMPH
toVmyAtoVvigosugave toVmyAtoV(N22NUET)+vigosuga_#_PUR+ve_#_DECL
toVmyAtoVvigosugave toVmyAtoV(N22NUET)+vigosuga_#_PUR+ve_#_RIS
toVmyAtoVvigiMwalA toVmyAtoV(N22NUET)+vigiMwa_#_COMP+lA_#_INTR
toVmyAtoVvigiMwalU toVmyAtoV(N22NUET)+vigiMwa_#_COMP+lU_#_INCL
toVmyAtoVvigiMwalo toVmyAtoV(N22NUET)+vigiMwa_#_COMP+lo_#_DUB
toVmyAtoVvigiMwalo toVmyAtoV(N22NUET)+vigiMwa_#_COMP+lo_#_INDF
toVmyAtoVvigiMwalo toVmyAtoV(N22NUET)+vigiMwa_#_COMP+lo_#_PRES
toVmyAtoVvigiMwale toVmyAtoV(N22NUET)+vigiMwa_#_COMP+le_#_IMPH
toVmyAtoVvigiMwale toVmyAtoV(N22NUET)+vigiMwa_#_COMP+le_#_DECL
toVmyAtoVvigiMwale toVmyAtoV(N22NUET)+vigiMwa_#_COMP+le_#_RIS
toVmyAtoVvinaMweVyA toVmyAtoV(N22NUET)+vinaMweV_#_SIM+yA_#_INTR
toVmyAtoVvinaMweVyU toVmyAtoV(N22NUET)+vinaMweV_#_SIM+yU_#_INCL
toVmyAtoVvinaMweVyo toVmyAtoV(N22NUET)+vinaMweV_#_SIM+yo_#_DUB
toVmyAtoVvinaMweVyo toVmyAtoV(N22NUET)+vinaMweV_#_SIM+yo_#_INDF
toVmyAtoVvinaMweVyo toVmyAtoV(N22NUET)+vinaMweV_#_SIM+yo_#_PRES
toVmyAtoVvinaMweVye toVmyAtoV(N22NUET)+vinaMweV_#_SIM+ye_#_IMPH
toVmyAtoVvinaMweVye toVmyAtoV(N22NUET)+vinaMweV_#_SIM+ye_#_DECL
toVmyAtoVvinaMweVye toVmyAtoV(N22NUET)+vinaMweV_#_SIM+ye_#_RIS
toVmyAtoVvoVdaneVyA toVmyAtoV(N22NUET)+voVdaneV_#_SOC+yA_#_INTR
toVmyAtoVvoVdaneVyU toVmyAtoV(N22NUET)+voVdaneV_#_SOC+yU_#_INCL
toVmyAtoVvoVdaneVyo toVmyAtoV(N22NUET)+voVdaneV_#_SOC+yo_#_DUB
toVmyAtoVvoVdaneVyo toVmyAtoV(N22NUET)+voVdaneV_#_SOC+yo_#_INDF
toVmyAtoVvoVdaneVyo toVmyAtoV(N22NUET)+voVdaneV_#_SOC+yo_#_PRES
toVmyAtoVvoVdaneVye toVmyAtoV(N22NUET)+voVdaneV_#_SOC+ye_#_IMPH
toVmyAtoVvoVdaneVye toVmyAtoV(N22NUET)+voVdaneV_#_SOC+ye_#_DECL
toVmyAtoVvoVdaneVye toVmyAtoV(N22NUET)+voVdaneV_#_SOC+ye_#_RIS
toVmyAtoVvinoVMxigeVyA toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+yA_#_INTR
toVmyAtoVvinoVMxigeVyU toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+yU_#_INCL
toVmyAtoVvinoVMxigeVyo toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+yo_#_DUB
toVmyAtoVvinoVMxigeVyo toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+yo_#_INDF
toVmyAtoVvinoVMxigeVyo toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+yo_#_PRES
toVmyAtoVvinoVMxigeVye toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+ye_#_IMPH
toVmyAtoVvinoVMxigeVye toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+ye_#_DECL
toVmyAtoVvinoVMxigeVye toVmyAtoV(N22NUET)+vinoVMxigeV_#_SOC+ye_#_RIS
toVmyAtoVgalYigoskaravA toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskaravA_lYu_INTR
toVmyAtoVgalYigoskaravU toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskaravU_lYu_INCL
toVmyAtoVgalYigoskaravo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskaravo_lYu_DUB
toVmyAtoVgalYigoskaravo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskaravo_lYu_INDF
toVmyAtoVgalYigoskaravo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskaravo_lYu_PRES
toVmyAtoVgalYigoskarave toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskarave_lYu_IMPH
toVmyAtoVgalYigoskarave toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskarave_lYu_DECL
toVmyAtoVgalYigoskarave toVmyAtoV(N22NUET)+galYu_#_BEN+lYigoskarave_lYu_RIS
toVmyAtoVgalYigoskaravA toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskaravA_lYu_INTR
toVmyAtoVgalYigoskaravU toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskaravU_lYu_INCL
toVmyAtoVgalYigoskaravo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskaravo_lYu_DUB
toVmyAtoVgalYigoskaravo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskaravo_lYu_INDF
toVmyAtoVgalYigoskaravo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskaravo_lYu_PRES
toVmyAtoVgalYigoskarave toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskarave_lYu_IMPH
toVmyAtoVgalYigoskarave toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskarave_lYu_DECL
toVmyAtoVgalYigoskarave toVmyAtoV(N22NUET)+galYu_#_PUR+lYigoskarave_lYu_RIS
toVmyAtoVgalYigAgiyA toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiyA_lYu_INTR
toVmyAtoVgalYigAgiyU toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiyU_lYu_INCL
toVmyAtoVgalYigAgiyo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiyo_lYu_DUB
toVmyAtoVgalYigAgiyo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiyo_lYu_INDF
toVmyAtoVgalYigAgiyo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiyo_lYu_PRES
toVmyAtoVgalYigAgiye toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiye_lYu_IMPH
toVmyAtoVgalYigAgiye toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiye_lYu_DECL
toVmyAtoVgalYigAgiye toVmyAtoV(N22NUET)+galYu_#_BEN+lYigAgiye_lYu_RIS
toVmyAtoVgalYigAgiyA toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiyA_lYu_INTR
toVmyAtoVgalYigAgiyU toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiyU_lYu_INCL
toVmyAtoVgalYigAgiyo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiyo_lYu_DUB
toVmyAtoVgalYigAgiyo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiyo_lYu_INDF
toVmyAtoVgalYigAgiyo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiyo_lYu_PRES
toVmyAtoVgalYigAgiye toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiye_lYu_IMPH
toVmyAtoVgalYigAgiye toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiye_lYu_DECL
toVmyAtoVgalYigAgiye toVmyAtoV(N22NUET)+galYu_#_PUR+lYigAgiye_lYu_RIS
toVmyAtoVgalYigosugavA toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugavA_lYu_INTR
toVmyAtoVgalYigosugavU toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugavU_lYu_INCL
toVmyAtoVgalYigosugavo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugavo_lYu_DUB
toVmyAtoVgalYigosugavo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugavo_lYu_INDF
toVmyAtoVgalYigosugavo toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugavo_lYu_PRES
toVmyAtoVgalYigosugave toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugave_lYu_IMPH
toVmyAtoVgalYigosugave toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugave_lYu_DECL
toVmyAtoVgalYigosugave toVmyAtoV(N22NUET)+galYu_#_BEN+lYigosugave_lYu_RIS
toVmyAtoVgalYigosugavA toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugavA_lYu_INTR
toVmyAtoVgalYigosugavU toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugavU_lYu_INCL
toVmyAtoVgalYigosugavo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugavo_lYu_DUB
toVmyAtoVgalYigosugavo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugavo_lYu_INDF
toVmyAtoVgalYigosugavo toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugavo_lYu_PRES
toVmyAtoVgalYigosugave toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugave_lYu_IMPH
toVmyAtoVgalYigosugave toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugave_lYu_DECL
toVmyAtoVgalYigosugave toVmyAtoV(N22NUET)+galYu_#_PUR+lYigosugave_lYu_RIS
toVmyAtoVgalYigiMwalA toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwalA_lYu_INTR
toVmyAtoVgalYigiMwalU toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwalU_lYu_INCL
toVmyAtoVgalYigiMwalo toVmyAtoV(N22NUET)+galYu_#_COMP+lYigiMwalo_lYu_DUB
