vartibreyu vartibre(N32NEUT)+yu_#_NOM
vartibregAgiye vartibre(N32NEUT)+gAgi_#_PUR+ye_#_DECL
vartibregAgiye vartibre(N32NEUT)+gAgi_#_PUR+ye_#_RIS
vartibregosugavA vartibre(N32NEUT)+gosuga_#_BEN+vA_#_INTR
vartibregosugavU vartibre(N32NEUT)+gosuga_#_BEN+vU_#_INCL
vartibregosugavo vartibre(N32NEUT)+gosuga_#_BEN+vo_#_DUB
vartibregosugavo vartibre(N32NEUT)+gosuga_#_BEN+vo_#_INDF
vartibregosugavo vartibre(N32NEUT)+gosuga_#_BEN+vo_#_PRES
vartibregosugave vartibre(N32NEUT)+gosuga_#_BEN+ve_#_IMPH
vartibregosugave vartibre(N32NEUT)+gosuga_#_BEN+ve_#_DECL
vartibregosugave vartibre(N32NEUT)+gosuga_#_BEN+ve_#_RIS
vartibregosugavA vartibre(N32NEUT)+gosuga_#_PUR+vA_#_INTR
vartibregosugavU vartibre(N32NEUT)+gosuga_#_PUR+vU_#_INCL
vartibregosugavo vartibre(N32NEUT)+gosuga_#_PUR+vo_#_DUB
vartibregosugavo vartibre(N32NEUT)+gosuga_#_PUR+vo_#_INDF
vartibregosugavo vartibre(N32NEUT)+gosuga_#_PUR+vo_#_PRES
vartibregosugave vartibre(N32NEUT)+gosuga_#_PUR+ve_#_IMPH
vartibregosugave vartibre(N32NEUT)+gosuga_#_PUR+ve_#_DECL
vartibregosugave vartibre(N32NEUT)+gosuga_#_PUR+ve_#_RIS
vartibregiMwalA vartibre(N32NEUT)+giMwa_#_COMP+lA_#_INTR
vartibregiMwalU vartibre(N32NEUT)+giMwa_#_COMP+lU_#_INCL
vartibregiMwalo vartibre(N32NEUT)+giMwa_#_COMP+lo_#_DUB
vartibregiMwalo vartibre(N32NEUT)+giMwa_#_COMP+lo_#_INDF
vartibregiMwalo vartibre(N32NEUT)+giMwa_#_COMP+lo_#_PRES
vartibregiMwale vartibre(N32NEUT)+giMwa_#_COMP+le_#_IMPH
vartibregiMwale vartibre(N32NEUT)+giMwa_#_COMP+le_#_DECL
vartibregiMwale vartibre(N32NEUT)+giMwa_#_COMP+le_#_RIS
vartibreyaMweVyA vartibre(N32NEUT)+yaMweV_#_SIM+yA_#_INTR
vartibreyaMweVyU vartibre(N32NEUT)+yaMweV_#_SIM+yU_#_INCL
vartibreyaMweVyo vartibre(N32NEUT)+yaMweV_#_SIM+yo_#_DUB
vartibreyaMweVyo vartibre(N32NEUT)+yaMweV_#_SIM+yo_#_INDF
vartibreyaMweVyo vartibre(N32NEUT)+yaMweV_#_SIM+yo_#_PRES
vartibreyaMweVye vartibre(N32NEUT)+yaMweV_#_SIM+ye_#_IMPH
vartibreyaMweVye vartibre(N32NEUT)+yaMweV_#_SIM+ye_#_DECL
vartibreyaMweVye vartibre(N32NEUT)+yaMweV_#_SIM+ye_#_RIS
vartibrevoVdaneVyA vartibre(N32NEUT)+voVdaneV_#_SOC+yA_#_INTR
vartibrevoVdaneVyU vartibre(N32NEUT)+voVdaneV_#_SOC+yU_#_INCL
vartibrevoVdaneVyo vartibre(N32NEUT)+voVdaneV_#_SOC+yo_#_DUB
vartibrevoVdaneVyo vartibre(N32NEUT)+voVdaneV_#_SOC+yo_#_INDF
vartibrevoVdaneVyo vartibre(N32NEUT)+voVdaneV_#_SOC+yo_#_PRES
vartibrevoVdaneVye vartibre(N32NEUT)+voVdaneV_#_SOC+ye_#_IMPH
vartibrevoVdaneVye vartibre(N32NEUT)+voVdaneV_#_SOC+ye_#_DECL
vartibrevoVdaneVye vartibre(N32NEUT)+voVdaneV_#_SOC+ye_#_RIS
vartibreyoVMxigeVyA vartibre(N32NEUT)+yoVMxigeV_#_SOC+yA_#_INTR
vartibreyoVMxigeVyU vartibre(N32NEUT)+yoVMxigeV_#_SOC+yU_#_INCL
vartibreyoVMxigeVyo vartibre(N32NEUT)+yoVMxigeV_#_SOC+yo_#_DUB
vartibreyoVMxigeVyo vartibre(N32NEUT)+yoVMxigeV_#_SOC+yo_#_INDF
vartibreyoVMxigeVyo vartibre(N32NEUT)+yoVMxigeV_#_SOC+yo_#_PRES
vartibreyoVMxigeVye vartibre(N32NEUT)+yoVMxigeV_#_SOC+ye_#_IMPH
vartibreyoVMxigeVye vartibre(N32NEUT)+yoVMxigeV_#_SOC+ye_#_DECL
vartibreyoVMxigeVye vartibre(N32NEUT)+yoVMxigeV_#_SOC+ye_#_RIS
vartibregalYigoskaravA vartibre(N32NEUT)+galYu_#_BEN+lYigoskaravA_lYu_INTR
vartibregalYigoskaravU vartibre(N32NEUT)+galYu_#_BEN+lYigoskaravU_lYu_INCL
vartibregalYigoskaravo vartibre(N32NEUT)+galYu_#_BEN+lYigoskaravo_lYu_DUB
vartibregalYigoskaravo vartibre(N32NEUT)+galYu_#_BEN+lYigoskaravo_lYu_INDF
vartibregalYigoskaravo vartibre(N32NEUT)+galYu_#_BEN+lYigoskaravo_lYu_PRES
vartibregalYigoskarave vartibre(N32NEUT)+galYu_#_BEN+lYigoskarave_lYu_IMPH
vartibregalYigoskarave vartibre(N32NEUT)+galYu_#_BEN+lYigoskarave_lYu_DECL
vartibregalYigoskarave vartibre(N32NEUT)+galYu_#_BEN+lYigoskarave_lYu_RIS
vartibregalYigoskaravA vartibre(N32NEUT)+galYu_#_PUR+lYigoskaravA_lYu_INTR
vartibregalYigoskaravU vartibre(N32NEUT)+galYu_#_PUR+lYigoskaravU_lYu_INCL
vartibregalYigoskaravo vartibre(N32NEUT)+galYu_#_PUR+lYigoskaravo_lYu_DUB
vartibregalYigoskaravo vartibre(N32NEUT)+galYu_#_PUR+lYigoskaravo_lYu_INDF
vartibregalYigoskaravo vartibre(N32NEUT)+galYu_#_PUR+lYigoskaravo_lYu_PRES
vartibregalYigoskarave vartibre(N32NEUT)+galYu_#_PUR+lYigoskarave_lYu_IMPH
vartibregalYigoskarave vartibre(N32NEUT)+galYu_#_PUR+lYigoskarave_lYu_DECL
vartibregalYigoskarave vartibre(N32NEUT)+galYu_#_PUR+lYigoskarave_lYu_RIS
vartibregalYigAgiyA vartibre(N32NEUT)+galYu_#_BEN+lYigAgiyA_lYu_INTR
vartibregalYigAgiyU vartibre(N32NEUT)+galYu_#_BEN+lYigAgiyU_lYu_INCL
vartibregalYigAgiyo vartibre(N32NEUT)+galYu_#_BEN+lYigAgiyo_lYu_DUB
vartibregalYigAgiyo vartibre(N32NEUT)+galYu_#_BEN+lYigAgiyo_lYu_INDF
vartibregalYigAgiyo vartibre(N32NEUT)+galYu_#_BEN+lYigAgiyo_lYu_PRES
vartibregalYigAgiye vartibre(N32NEUT)+galYu_#_BEN+lYigAgiye_lYu_IMPH
vartibregalYigAgiye vartibre(N32NEUT)+galYu_#_BEN+lYigAgiye_lYu_DECL
vartibregalYigAgiye vartibre(N32NEUT)+galYu_#_BEN+lYigAgiye_lYu_RIS
vartibregalYigAgiyA vartibre(N32NEUT)+galYu_#_PUR+lYigAgiyA_lYu_INTR
vartibregalYigAgiyU vartibre(N32NEUT)+galYu_#_PUR+lYigAgiyU_lYu_INCL
vartibregalYigAgiyo vartibre(N32NEUT)+galYu_#_PUR+lYigAgiyo_lYu_DUB
vartibregalYigAgiyo vartibre(N32NEUT)+galYu_#_PUR+lYigAgiyo_lYu_INDF
vartibregalYigAgiyo vartibre(N32NEUT)+galYu_#_PUR+lYigAgiyo_lYu_PRES
vartibregalYigAgiye vartibre(N32NEUT)+galYu_#_PUR+lYigAgiye_lYu_IMPH
vartibregalYigAgiye vartibre(N32NEUT)+galYu_#_PUR+lYigAgiye_lYu_DECL
vartibregalYigAgiye vartibre(N32NEUT)+galYu_#_PUR+lYigAgiye_lYu_RIS
vartibregalYigosugavA vartibre(N32NEUT)+galYu_#_BEN+lYigosugavA_lYu_INTR
vartibregalYigosugavU vartibre(N32NEUT)+galYu_#_BEN+lYigosugavU_lYu_INCL
vartibregalYigosugavo vartibre(N32NEUT)+galYu_#_BEN+lYigosugavo_lYu_DUB
vartibregalYigosugavo vartibre(N32NEUT)+galYu_#_BEN+lYigosugavo_lYu_INDF
vartibregalYigosugavo vartibre(N32NEUT)+galYu_#_BEN+lYigosugavo_lYu_PRES
vartibregalYigosugave vartibre(N32NEUT)+galYu_#_BEN+lYigosugave_lYu_IMPH
vartibregalYigosugave vartibre(N32NEUT)+galYu_#_BEN+lYigosugave_lYu_DECL
vartibregalYigosugave vartibre(N32NEUT)+galYu_#_BEN+lYigosugave_lYu_RIS
vartibregalYigosugavA vartibre(N32NEUT)+galYu_#_PUR+lYigosugavA_lYu_INTR
vartibregalYigosugavU vartibre(N32NEUT)+galYu_#_PUR+lYigosugavU_lYu_INCL
vartibregalYigosugavo vartibre(N32NEUT)+galYu_#_PUR+lYigosugavo_lYu_DUB
vartibregalYigosugavo vartibre(N32NEUT)+galYu_#_PUR+lYigosugavo_lYu_INDF
vartibregalYigosugavo vartibre(N32NEUT)+galYu_#_PUR+lYigosugavo_lYu_PRES
vartibregalYigosugave vartibre(N32NEUT)+galYu_#_PUR+lYigosugave_lYu_IMPH
vartibregalYigosugave vartibre(N32NEUT)+galYu_#_PUR+lYigosugave_lYu_DECL
vartibregalYigosugave vartibre(N32NEUT)+galYu_#_PUR+lYigosugave_lYu_RIS
vartibregalYigiMwalA vartibre(N32NEUT)+galYu_#_COMP+lYigiMwalA_lYu_INTR
vartibregalYigiMwalU vartibre(N32NEUT)+galYu_#_COMP+lYigiMwalU_lYu_INCL
vartibregalYigiMwalo vartibre(N32NEUT)+galYu_#_COMP+lYigiMwalo_lYu_DUB
vartibregalYigiMwalo vartibre(N32NEUT)+galYu_#_COMP+lYigiMwalo_lYu_INDF
vartibregalYigiMwalo vartibre(N32NEUT)+galYu_#_COMP+lYigiMwalo_lYu_PRES
vartibregalYigiMwale vartibre(N32NEUT)+galYu_#_COMP+lYigiMwale_lYu_IMPH
vartibregalYigiMwale vartibre(N32NEUT)+galYu_#_COMP+lYigiMwale_lYu_DECL
vartibregalYigiMwale vartibre(N32NEUT)+galYu_#_COMP+lYigiMwale_lYu_RIS
vartibregalYaMweVyA vartibre(N32NEUT)+galYu_#_SIM+lYaMweVyA_lYu_INTR
vartibregalYaMweVyU vartibre(N32NEUT)+galYu_#_SIM+lYaMweVyU_lYu_INCL
vartibregalYaMweVyo vartibre(N32NEUT)+galYu_#_SIM+lYaMweVyo_lYu_DUB
vartibregalYaMweVyo vartibre(N32NEUT)+galYu_#_SIM+lYaMweVyo_lYu_INDF
vartibregalYaMweVyo vartibre(N32NEUT)+galYu_#_SIM+lYaMweVyo_lYu_PRES
vartibregalYaMweVye vartibre(N32NEUT)+galYu_#_SIM+lYaMweVye_lYu_IMPH
vartibregalYaMweVye vartibre(N32NEUT)+galYu_#_SIM+lYaMweVye_lYu_DECL
vartibregalYaMweVye vartibre(N32NEUT)+galYu_#_SIM+lYaMweVye_lYu_RIS
vartibregalYoVdaneVyA vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
vartibregalYoVdaneVyU vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
vartibregalYoVdaneVyo vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
vartibregalYoVdaneVyo vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
vartibregalYoVdaneVyo vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
vartibregalYoVdaneVye vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
vartibregalYoVdaneVye vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
vartibregalYoVdaneVye vartibre(N32NEUT)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
vartibregalYoVMxigeVyA vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
vartibregalYoVMxigeVyU vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
vartibregalYoVMxigeVyo vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
vartibregalYoVMxigeVyo vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
vartibregalYoVMxigeVyo vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
vartibregalYoVMxigeVye vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
vartibregalYoVMxigeVye vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
vartibregalYoVMxigeVye vartibre(N32NEUT)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


