vaXuvu vaXu(N25FEM)+vu_#_NOM
vaXuvannU vaXu(N25FEM)+vannu_#_ACC+nnU_nnu_INCL
vaXuvanno vaXu(N25FEM)+vannu_#_ACC+nno_nnu_DUB
vaXuvanno vaXu(N25FEM)+vannu_#_ACC+nno_nnu_INDF
vaXuvanno vaXu(N25FEM)+vannu_#_ACC+nno_nnu_PRES
vaXuvanne vaXu(N25FEM)+vannu_#_ACC+nne_nnu_IMPH
vaXuvanne vaXu(N25FEM)+vannu_#_ACC+nne_nnu_DECL
vaXuvanne vaXu(N25FEM)+vannu_#_ACC+nne_nnu_RIS
vaXuviniMxalA vaXu(N25FEM)+viniMxa_#_INS+lA_#_INTR
vaXuviniMxalU vaXu(N25FEM)+viniMxa_#_INS+lU_#_INCL
vaXuviniMxalo vaXu(N25FEM)+viniMxa_#_INS+lo_#_DUB
vaXuviniMxalo vaXu(N25FEM)+viniMxa_#_INS+lo_#_INDF
vaXuviniMxalo vaXu(N25FEM)+viniMxa_#_INS+lo_#_PRES
vaXuviniMxale vaXu(N25FEM)+viniMxa_#_INS+le_#_IMPH
vaXuviniMxale vaXu(N25FEM)+viniMxa_#_INS+le_#_DECL
vaXuviniMxale vaXu(N25FEM)+viniMxa_#_INS+le_#_RIS
vaXuvigA vaXu(N25FEM)+vigeV_#_DAT+gA_geV_INTR
vaXuvigU vaXu(N25FEM)+vigeV_#_DAT+gU_geV_INCL
vaXuvigo vaXu(N25FEM)+vigeV_#_DAT+go_geV_DUB
vaXuvigo vaXu(N25FEM)+vigeV_#_DAT+go_geV_INDF
vaXuvigo vaXu(N25FEM)+vigeV_#_DAT+go_geV_PRES
vaXuvige vaXu(N25FEM)+vigeV_#_DAT+ge_geV_IMPH
vaXuvige vaXu(N25FEM)+vigeV_#_DAT+ge_geV_DECL
vaXuvige vaXu(N25FEM)+vigeV_#_DAT+ge_geV_RIS
vaXuviniMxalA vaXu(N25FEM)+viniMxa_#_ABL+lA_#_INTR
vaXuviniMxalU vaXu(N25FEM)+viniMxa_#_ABL+lU_#_INCL
vaXuviniMxalo vaXu(N25FEM)+viniMxa_#_ABL+lo_#_DUB
vaXuviniMxalo vaXu(N25FEM)+viniMxa_#_ABL+lo_#_INDF
vaXuviniMxalo vaXu(N25FEM)+viniMxa_#_ABL+lo_#_PRES
vaXuviniMxale vaXu(N25FEM)+viniMxa_#_ABL+le_#_IMPH
vaXuviniMxale vaXu(N25FEM)+viniMxa_#_ABL+le_#_DECL
vaXuviniMxale vaXu(N25FEM)+viniMxa_#_ABL+le_#_RIS
vaXuvinalliyA vaXu(N25FEM)+vinalli_#_LOC+yA_#_INTR
vaXuvinalliyU vaXu(N25FEM)+vinalli_#_LOC+yU_#_INCL
vaXuvinalliyo vaXu(N25FEM)+vinalli_#_LOC+yo_#_DUB
vaXuvinalliyo vaXu(N25FEM)+vinalli_#_LOC+yo_#_INDF
vaXuvinalliyo vaXu(N25FEM)+vinalli_#_LOC+yo_#_PRES
vaXuvinalliye vaXu(N25FEM)+vinalli_#_LOC+ye_#_IMPH
vaXuvinalliye vaXu(N25FEM)+vinalli_#_LOC+ye_#_DECL
vaXuvinalliye vaXu(N25FEM)+vinalli_#_LOC+ye_#_RIS
vaXugalYA vaXu(N25FEM)+galYu_#_NOM+lYA_lYu_INTR
vaXugalYU vaXu(N25FEM)+galYu_#_NOM+lYU_lYu_INCL
vaXugalYo vaXu(N25FEM)+galYu_#_NOM+lYo_lYu_DUB
vaXugalYo vaXu(N25FEM)+galYu_#_NOM+lYo_lYu_INDF
vaXugalYo vaXu(N25FEM)+galYu_#_NOM+lYo_lYu_PRES
vaXugalYe vaXu(N25FEM)+galYu_#_NOM+lYe_lYu_IMPH
vaXugalYe vaXu(N25FEM)+galYu_#_NOM+lYe_lYu_DECL
vaXugalYe vaXu(N25FEM)+galYu_#_NOM+lYe_lYu_RIS
vaXugalYannA vaXu(N25FEM)+galYu_#_ACC+lYannA_lYu_INTR
vaXugalYannU vaXu(N25FEM)+galYu_#_ACC+lYannU_lYu_INCL
vaXugalYanno vaXu(N25FEM)+galYu_#_ACC+lYanno_lYu_DUB
vaXugalYanno vaXu(N25FEM)+galYu_#_ACC+lYanno_lYu_INDF
vaXugalYanno vaXu(N25FEM)+galYu_#_ACC+lYanno_lYu_PRES
vaXugalYanne vaXu(N25FEM)+galYu_#_ACC+lYanne_lYu_IMPH
vaXugalYanne vaXu(N25FEM)+galYu_#_ACC+lYanne_lYu_DECL
vaXugalYanne vaXu(N25FEM)+galYu_#_ACC+lYanne_lYu_RIS
vaXugalYiMxalA vaXu(N25FEM)+galYu_#_INS+lYiMxalA_lYu_INTR
vaXugalYiMxalU vaXu(N25FEM)+galYu_#_INS+lYiMxalU_lYu_INCL
vaXugalYiMxalo vaXu(N25FEM)+galYu_#_INS+lYiMxalo_lYu_DUB
vaXugalYiMxalo vaXu(N25FEM)+galYu_#_INS+lYiMxalo_lYu_INDF
vaXugalYiMxalo vaXu(N25FEM)+galYu_#_INS+lYiMxalo_lYu_PRES
vaXugalYiMxale vaXu(N25FEM)+galYu_#_INS+lYiMxale_lYu_IMPH
vaXugalYiMxale vaXu(N25FEM)+galYu_#_INS+lYiMxale_lYu_DECL
vaXugalYiMxale vaXu(N25FEM)+galYu_#_INS+lYiMxale_lYu_RIS
vaXugalYigA vaXu(N25FEM)+galYu_#_DAT+lYigA_lYu_INTR
vaXugalYigU vaXu(N25FEM)+galYu_#_DAT+lYigU_lYu_INCL
vaXugalYigo vaXu(N25FEM)+galYu_#_DAT+lYigo_lYu_DUB
vaXugalYigo vaXu(N25FEM)+galYu_#_DAT+lYigo_lYu_INDF
vaXugalYigo vaXu(N25FEM)+galYu_#_DAT+lYigo_lYu_PRES
vaXugalYige vaXu(N25FEM)+galYu_#_DAT+lYige_lYu_IMPH
vaXugalYige vaXu(N25FEM)+galYu_#_DAT+lYige_lYu_DECL
vaXugalYige vaXu(N25FEM)+galYu_#_DAT+lYige_lYu_RIS
vaXugalYiMxalA vaXu(N25FEM)+galYu_#_ABL+lYiMxalA_lYu_INTR
vaXugalYiMxalU vaXu(N25FEM)+galYu_#_ABL+lYiMxalU_lYu_INCL
vaXugalYiMxalo vaXu(N25FEM)+galYu_#_ABL+lYiMxalo_lYu_DUB
vaXugalYiMxalo vaXu(N25FEM)+galYu_#_ABL+lYiMxalo_lYu_INDF
vaXugalYiMxalo vaXu(N25FEM)+galYu_#_ABL+lYiMxalo_lYu_PRES
vaXugalYiMxale vaXu(N25FEM)+galYu_#_ABL+lYiMxale_lYu_IMPH
vaXugalYiMxale vaXu(N25FEM)+galYu_#_ABL+lYiMxale_lYu_DECL
vaXugalYiMxale vaXu(N25FEM)+galYu_#_ABL+lYiMxale_lYu_RIS
vaXugalYallA vaXu(N25FEM)+galYu_#_LOC+lYallA_lYu_INTR
vaXugalYallU vaXu(N25FEM)+galYu_#_LOC+lYallU_lYu_INCL
vaXugalYallo vaXu(N25FEM)+galYu_#_LOC+lYallo_lYu_DUB
vaXugalYallo vaXu(N25FEM)+galYu_#_LOC+lYallo_lYu_INDF
vaXugalYallo vaXu(N25FEM)+galYu_#_LOC+lYallo_lYu_PRES
vaXugalYalle vaXu(N25FEM)+galYu_#_LOC+lYalle_lYu_IMPH
vaXugalYalle vaXu(N25FEM)+galYu_#_LOC+lYalle_lYu_DECL
vaXugalYalle vaXu(N25FEM)+galYu_#_LOC+lYalle_lYu_RIS
vaXuvigoskaravA vaXu(N25FEM)+vigoskara_#_BEN+vA_#_INTR
vaXuvigoskaravU vaXu(N25FEM)+vigoskara_#_BEN+vU_#_INCL
vaXuvigoskaravo vaXu(N25FEM)+vigoskara_#_BEN+vo_#_DUB
vaXuvigoskaravo vaXu(N25FEM)+vigoskara_#_BEN+vo_#_INDF
vaXuvigoskaravo vaXu(N25FEM)+vigoskara_#_BEN+vo_#_PRES
vaXuvigoskarave vaXu(N25FEM)+vigoskara_#_BEN+ve_#_IMPH
vaXuvigoskarave vaXu(N25FEM)+vigoskara_#_BEN+ve_#_DECL
vaXuvigoskarave vaXu(N25FEM)+vigoskara_#_BEN+ve_#_RIS
vaXuvigoskaravA vaXu(N25FEM)+vigoskara_#_PUR+vA_#_INTR
vaXuvigoskaravU vaXu(N25FEM)+vigoskara_#_PUR+vU_#_INCL
vaXuvigoskaravo vaXu(N25FEM)+vigoskara_#_PUR+vo_#_DUB
vaXuvigoskaravo vaXu(N25FEM)+vigoskara_#_PUR+vo_#_INDF
vaXuvigoskaravo vaXu(N25FEM)+vigoskara_#_PUR+vo_#_PRES
vaXuvigoskarave vaXu(N25FEM)+vigoskara_#_PUR+ve_#_IMPH
vaXuvigoskarave vaXu(N25FEM)+vigoskara_#_PUR+ve_#_DECL
vaXuvigoskarave vaXu(N25FEM)+vigoskara_#_PUR+ve_#_RIS
vaXuvigAgiyA vaXu(N25FEM)+vigAgi_#_BEN+yA_#_INTR
vaXuvigAgiyU vaXu(N25FEM)+vigAgi_#_BEN+yU_#_INCL
vaXuvigAgiyo vaXu(N25FEM)+vigAgi_#_BEN+yo_#_DUB
vaXuvigAgiyo vaXu(N25FEM)+vigAgi_#_BEN+yo_#_INDF
vaXuvigAgiyo vaXu(N25FEM)+vigAgi_#_BEN+yo_#_PRES
vaXuvigAgiye vaXu(N25FEM)+vigAgi_#_BEN+ye_#_IMPH
vaXuvigAgiye vaXu(N25FEM)+vigAgi_#_BEN+ye_#_DECL
vaXuvigAgiye vaXu(N25FEM)+vigAgi_#_BEN+ye_#_RIS
vaXuvigAgiyA vaXu(N25FEM)+vigAgi_#_PUR+yA_#_INTR
vaXuvigAgiyU vaXu(N25FEM)+vigAgi_#_PUR+yU_#_INCL
vaXuvigAgiyo vaXu(N25FEM)+vigAgi_#_PUR+yo_#_DUB
vaXuvigAgiyo vaXu(N25FEM)+vigAgi_#_PUR+yo_#_INDF
vaXuvigAgiyo vaXu(N25FEM)+vigAgi_#_PUR+yo_#_PRES
vaXuvigAgiye vaXu(N25FEM)+vigAgi_#_PUR+ye_#_IMPH
vaXuvigAgiye vaXu(N25FEM)+vigAgi_#_PUR+ye_#_DECL
vaXuvigAgiye vaXu(N25FEM)+vigAgi_#_PUR+ye_#_RIS
vaXuvigosugavA vaXu(N25FEM)+vigosuga_#_BEN+vA_#_INTR
vaXuvigosugavU vaXu(N25FEM)+vigosuga_#_BEN+vU_#_INCL
vaXuvigosugavo vaXu(N25FEM)+vigosuga_#_BEN+vo_#_DUB
vaXuvigosugavo vaXu(N25FEM)+vigosuga_#_BEN+vo_#_INDF
vaXuvigosugavo vaXu(N25FEM)+vigosuga_#_BEN+vo_#_PRES
vaXuvigosugave vaXu(N25FEM)+vigosuga_#_BEN+ve_#_IMPH
vaXuvigosugave vaXu(N25FEM)+vigosuga_#_BEN+ve_#_DECL
vaXuvigosugave vaXu(N25FEM)+vigosuga_#_BEN+ve_#_RIS
vaXuvigosugavA vaXu(N25FEM)+vigosuga_#_PUR+vA_#_INTR
vaXuvigosugavU vaXu(N25FEM)+vigosuga_#_PUR+vU_#_INCL
vaXuvigosugavo vaXu(N25FEM)+vigosuga_#_PUR+vo_#_DUB
vaXuvigosugavo vaXu(N25FEM)+vigosuga_#_PUR+vo_#_INDF
vaXuvigosugavo vaXu(N25FEM)+vigosuga_#_PUR+vo_#_PRES
vaXuvigosugave vaXu(N25FEM)+vigosuga_#_PUR+ve_#_IMPH
vaXuvigosugave vaXu(N25FEM)+vigosuga_#_PUR+ve_#_DECL
vaXuvigosugave vaXu(N25FEM)+vigosuga_#_PUR+ve_#_RIS
vaXuvigiMwalA vaXu(N25FEM)+vigiMwa_#_COMP+lA_#_INTR
vaXuvigiMwalU vaXu(N25FEM)+vigiMwa_#_COMP+lU_#_INCL
vaXuvigiMwalo vaXu(N25FEM)+vigiMwa_#_COMP+lo_#_DUB
vaXuvigiMwalo vaXu(N25FEM)+vigiMwa_#_COMP+lo_#_INDF
vaXuvigiMwalo vaXu(N25FEM)+vigiMwa_#_COMP+lo_#_PRES
vaXuvigiMwale vaXu(N25FEM)+vigiMwa_#_COMP+le_#_IMPH
vaXuvigiMwale vaXu(N25FEM)+vigiMwa_#_COMP+le_#_DECL
vaXuvigiMwale vaXu(N25FEM)+vigiMwa_#_COMP+le_#_RIS
vaXuvinaMweVyA vaXu(N25FEM)+vinaMweV_#_SIM+yA_#_INTR
vaXuvinaMweVyU vaXu(N25FEM)+vinaMweV_#_SIM+yU_#_INCL
vaXuvinaMweVyo vaXu(N25FEM)+vinaMweV_#_SIM+yo_#_DUB
vaXuvinaMweVyo vaXu(N25FEM)+vinaMweV_#_SIM+yo_#_INDF
vaXuvinaMweVyo vaXu(N25FEM)+vinaMweV_#_SIM+yo_#_PRES
vaXuvinaMweVye vaXu(N25FEM)+vinaMweV_#_SIM+ye_#_IMPH
vaXuvinaMweVye vaXu(N25FEM)+vinaMweV_#_SIM+ye_#_DECL
vaXuvinaMweVye vaXu(N25FEM)+vinaMweV_#_SIM+ye_#_RIS
vaXuvoVdaneVyA vaXu(N25FEM)+voVdaneV_#_SOC+yA_#_INTR
vaXuvoVdaneVyU vaXu(N25FEM)+voVdaneV_#_SOC+yU_#_INCL
vaXuvoVdaneVyo vaXu(N25FEM)+voVdaneV_#_SOC+yo_#_DUB
vaXuvoVdaneVyo vaXu(N25FEM)+voVdaneV_#_SOC+yo_#_INDF
vaXuvoVdaneVyo vaXu(N25FEM)+voVdaneV_#_SOC+yo_#_PRES
vaXuvoVdaneVye vaXu(N25FEM)+voVdaneV_#_SOC+ye_#_IMPH
vaXuvoVdaneVye vaXu(N25FEM)+voVdaneV_#_SOC+ye_#_DECL
vaXuvoVdaneVye vaXu(N25FEM)+voVdaneV_#_SOC+ye_#_RIS
vaXuvinoVMxigeVyA vaXu(N25FEM)+vinoVMxigeV_#_SOC+yA_#_INTR
vaXuvinoVMxigeVyU vaXu(N25FEM)+vinoVMxigeV_#_SOC+yU_#_INCL
vaXuvinoVMxigeVyo vaXu(N25FEM)+vinoVMxigeV_#_SOC+yo_#_DUB
vaXuvinoVMxigeVyo vaXu(N25FEM)+vinoVMxigeV_#_SOC+yo_#_INDF
vaXuvinoVMxigeVyo vaXu(N25FEM)+vinoVMxigeV_#_SOC+yo_#_PRES
vaXuvinoVMxigeVye vaXu(N25FEM)+vinoVMxigeV_#_SOC+ye_#_IMPH
vaXuvinoVMxigeVye vaXu(N25FEM)+vinoVMxigeV_#_SOC+ye_#_DECL
vaXuvinoVMxigeVye vaXu(N25FEM)+vinoVMxigeV_#_SOC+ye_#_RIS
vaXugalYigoskaravA vaXu(N25FEM)+galYu_#_BEN+lYigoskaravA_lYu_INTR
vaXugalYigoskaravU vaXu(N25FEM)+galYu_#_BEN+lYigoskaravU_lYu_INCL
vaXugalYigoskaravo vaXu(N25FEM)+galYu_#_BEN+lYigoskaravo_lYu_DUB
vaXugalYigoskaravo vaXu(N25FEM)+galYu_#_BEN+lYigoskaravo_lYu_INDF
vaXugalYigoskaravo vaXu(N25FEM)+galYu_#_BEN+lYigoskaravo_lYu_PRES
vaXugalYigoskarave vaXu(N25FEM)+galYu_#_BEN+lYigoskarave_lYu_IMPH
vaXugalYigoskarave vaXu(N25FEM)+galYu_#_BEN+lYigoskarave_lYu_DECL
vaXugalYigoskarave vaXu(N25FEM)+galYu_#_BEN+lYigoskarave_lYu_RIS
vaXugalYigoskaravA vaXu(N25FEM)+galYu_#_PUR+lYigoskaravA_lYu_INTR
vaXugalYigoskaravU vaXu(N25FEM)+galYu_#_PUR+lYigoskaravU_lYu_INCL
vaXugalYigoskaravo vaXu(N25FEM)+galYu_#_PUR+lYigoskaravo_lYu_DUB
vaXugalYigoskaravo vaXu(N25FEM)+galYu_#_PUR+lYigoskaravo_lYu_INDF
vaXugalYigoskaravo vaXu(N25FEM)+galYu_#_PUR+lYigoskaravo_lYu_PRES
vaXugalYigoskarave vaXu(N25FEM)+galYu_#_PUR+lYigoskarave_lYu_IMPH
vaXugalYigoskarave vaXu(N25FEM)+galYu_#_PUR+lYigoskarave_lYu_DECL
vaXugalYigoskarave vaXu(N25FEM)+galYu_#_PUR+lYigoskarave_lYu_RIS
vaXugalYigAgiyA vaXu(N25FEM)+galYu_#_BEN+lYigAgiyA_lYu_INTR
vaXugalYigAgiyU vaXu(N25FEM)+galYu_#_BEN+lYigAgiyU_lYu_INCL
vaXugalYigAgiyo vaXu(N25FEM)+galYu_#_BEN+lYigAgiyo_lYu_DUB
vaXugalYigAgiyo vaXu(N25FEM)+galYu_#_BEN+lYigAgiyo_lYu_INDF
vaXugalYigAgiyo vaXu(N25FEM)+galYu_#_BEN+lYigAgiyo_lYu_PRES
vaXugalYigAgiye vaXu(N25FEM)+galYu_#_BEN+lYigAgiye_lYu_IMPH
vaXugalYigAgiye vaXu(N25FEM)+galYu_#_BEN+lYigAgiye_lYu_DECL
vaXugalYigAgiye vaXu(N25FEM)+galYu_#_BEN+lYigAgiye_lYu_RIS
vaXugalYigAgiyA vaXu(N25FEM)+galYu_#_PUR+lYigAgiyA_lYu_INTR
vaXugalYigAgiyU vaXu(N25FEM)+galYu_#_PUR+lYigAgiyU_lYu_INCL
vaXugalYigAgiyo vaXu(N25FEM)+galYu_#_PUR+lYigAgiyo_lYu_DUB
vaXugalYigAgiyo vaXu(N25FEM)+galYu_#_PUR+lYigAgiyo_lYu_INDF
vaXugalYigAgiyo vaXu(N25FEM)+galYu_#_PUR+lYigAgiyo_lYu_PRES
vaXugalYigAgiye vaXu(N25FEM)+galYu_#_PUR+lYigAgiye_lYu_IMPH
vaXugalYigAgiye vaXu(N25FEM)+galYu_#_PUR+lYigAgiye_lYu_DECL
vaXugalYigAgiye vaXu(N25FEM)+galYu_#_PUR+lYigAgiye_lYu_RIS
vaXugalYigosugavA vaXu(N25FEM)+galYu_#_BEN+lYigosugavA_lYu_INTR
vaXugalYigosugavU vaXu(N25FEM)+galYu_#_BEN+lYigosugavU_lYu_INCL
vaXugalYigosugavo vaXu(N25FEM)+galYu_#_BEN+lYigosugavo_lYu_DUB
vaXugalYigosugavo vaXu(N25FEM)+galYu_#_BEN+lYigosugavo_lYu_INDF
vaXugalYigosugavo vaXu(N25FEM)+galYu_#_BEN+lYigosugavo_lYu_PRES
vaXugalYigosugave vaXu(N25FEM)+galYu_#_BEN+lYigosugave_lYu_IMPH
vaXugalYigosugave vaXu(N25FEM)+galYu_#_BEN+lYigosugave_lYu_DECL
vaXugalYigosugave vaXu(N25FEM)+galYu_#_BEN+lYigosugave_lYu_RIS
vaXugalYigosugavA vaXu(N25FEM)+galYu_#_PUR+lYigosugavA_lYu_INTR
vaXugalYigosugavU vaXu(N25FEM)+galYu_#_PUR+lYigosugavU_lYu_INCL
vaXugalYigosugavo vaXu(N25FEM)+galYu_#_PUR+lYigosugavo_lYu_DUB
vaXugalYigosugavo vaXu(N25FEM)+galYu_#_PUR+lYigosugavo_lYu_INDF
vaXugalYigosugavo vaXu(N25FEM)+galYu_#_PUR+lYigosugavo_lYu_PRES
vaXugalYigosugave vaXu(N25FEM)+galYu_#_PUR+lYigosugave_lYu_IMPH
vaXugalYigosugave vaXu(N25FEM)+galYu_#_PUR+lYigosugave_lYu_DECL
vaXugalYigosugave vaXu(N25FEM)+galYu_#_PUR+lYigosugave_lYu_RIS
vaXugalYigiMwalA vaXu(N25FEM)+galYu_#_COMP+lYigiMwalA_lYu_INTR
vaXugalYigiMwalU vaXu(N25FEM)+galYu_#_COMP+lYigiMwalU_lYu_INCL
vaXugalYigiMwalo vaXu(N25FEM)+galYu_#_COMP+lYigiMwalo_lYu_DUB
vaXugalYigiMwalo vaXu(N25FEM)+galYu_#_COMP+lYigiMwalo_lYu_INDF
vaXugalYigiMwalo vaXu(N25FEM)+galYu_#_COMP+lYigiMwalo_lYu_PRES
vaXugalYigiMwale vaXu(N25FEM)+galYu_#_COMP+lYigiMwale_lYu_IMPH
vaXugalYigiMwale vaXu(N25FEM)+galYu_#_COMP+lYigiMwale_lYu_DECL
vaXugalYigiMwale vaXu(N25FEM)+galYu_#_COMP+lYigiMwale_lYu_RIS
vaXugalYaMweVyA vaXu(N25FEM)+galYu_#_SIM+lYaMweVyA_lYu_INTR
vaXugalYaMweVyU vaXu(N25FEM)+galYu_#_SIM+lYaMweVyU_lYu_INCL
vaXugalYaMweVyo vaXu(N25FEM)+galYu_#_SIM+lYaMweVyo_lYu_DUB
vaXugalYaMweVyo vaXu(N25FEM)+galYu_#_SIM+lYaMweVyo_lYu_INDF
vaXugalYaMweVyo vaXu(N25FEM)+galYu_#_SIM+lYaMweVyo_lYu_PRES
vaXugalYaMweVye vaXu(N25FEM)+galYu_#_SIM+lYaMweVye_lYu_IMPH
vaXugalYaMweVye vaXu(N25FEM)+galYu_#_SIM+lYaMweVye_lYu_DECL
vaXugalYaMweVye vaXu(N25FEM)+galYu_#_SIM+lYaMweVye_lYu_RIS
vaXugalYoVdaneVyA vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
vaXugalYoVdaneVyU vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
vaXugalYoVdaneVyo vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
vaXugalYoVdaneVyo vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
vaXugalYoVdaneVyo vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
vaXugalYoVdaneVye vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
vaXugalYoVdaneVye vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
vaXugalYoVdaneVye vaXu(N25FEM)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
vaXugalYoVMxigeVyA vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
vaXugalYoVMxigeVyU vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
vaXugalYoVMxigeVyo vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
vaXugalYoVMxigeVyo vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
vaXugalYoVMxigeVyo vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
vaXugalYoVMxigeVye vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
vaXugalYoVMxigeVye vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
vaXugalYoVMxigeVye vaXu(N25FEM)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


